GSM_ID	Cell_Type	General_Cell_Type
GSM1546031	Neutrophil	Neutrophil
GSM1546032	Neutrophil	Neutrophil
GSM1546033	Monocyte	Monocyte
GSM1546034	Monocyte	Monocyte
GSM1546035	Microglia	Microglia
GSM1546036	Microglia	Microglia
GSM1546037	Peritoneum_Mac	Macrophage
GSM1546038	Peritoneum_Mac	Macrophage
GSM1546039	Spleen_Mac	Macrophage
GSM1546040	Spleen_Mac	Macrophage
GSM1546041	Kuppfer	Macrophage
GSM1546042	Kuppfer	Macrophage
GSM1546043	LI_Mac	Macrophage
GSM1546044	LI_Mac	Macrophage
GSM1546045	SI_Mac	Macrophage
GSM1546046	SI_Mac	Macrophage
GSM1546047	Lung_Mac	Macrophage
GSM1546048	Lung_Mac	Macrophage
